nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0800000	Renee Rene Simms	\N	\N	actress	tt0114852
nm0800001	Richard Simms	1966	\N	actor,animation_department,producer	tt14670152,tt0103644,tt0120913,tt0118617
nm0800002	Rick Simms	\N	\N	miscellaneous	tt0108238,tt0110066
nm0800003	Robin Simms	\N	\N	special_effects,miscellaneous	tt0086214,tt0093129
nm0800004	Scott Simms	\N	\N	actor	tt0283082,tt0285825
nm0800005	Sean Simms	\N	\N	actor,producer	tt5358202,tt0413852,tt0426592,tt0892033
nm0800006	Shannon Simms	\N	\N	miscellaneous	tt0111127
nm0800007	Sindy Sue Simms	\N	\N	miscellaneous	tt0117041
nm0800008	Slim Simms	\N	\N	actor	tt0031475
nm0800010	Stacey Simms	\N	\N	actress,miscellaneous	tt0089963,tt0088116
nm0800011	Stephen Simms	\N	\N	actor	tt0206926,tt0192263,tt0098765,tt0097499
nm0800012	Sylvia Syms	1916	1992	actress,soundtrack	tt0052188,tt0066856,tt0067771,tt5679906
nm0800013	Tammy Simms	\N	\N	actress	tt0058008
nm0800014	Tasha Simms	\N	\N	actress	tt0278504,tt1419950,tt1536410,tt1637727
nm0800015	Terry Simms	\N	\N	camera_department	tt0110898,tt1520433,tt0112441,tt0093176
nm0800016	Vanilla Simms	\N	\N	actress	tt0160703,tt0135346,tt0141220,tt0167074
nm0800017	Rain Simmul	1965	\N	actor	tt0408286,tt3213684,tt0293018,tt0104978
nm0800018	Barry Simner	\N	\N	writer	tt0991266,tt0118401,tt0182648,tt0184122
nm0800019	Ana María Simo	\N	\N		tt0087696
nm0800020	Josette Simo	\N	\N	actress	tt0209399,tt0249860
nm0800021	José Simo	\N	\N	actor	tt0216073
nm0800022	Manny Simo	\N	\N	actor	tt0108413,tt1582211,tt1569470
nm0800023	Mary Lou Simo	\N	\N	actress	tt0089572
nm0800024	María José Simo	\N	\N	actress	tt0035390,tt0036148
nm0800025	Ricard Simo	\N	\N	actor	tt0109489
nm0800026	Rosendo Simo	\N	\N	camera_department	tt0064377,tt0063259,tt0071164,tt0083709
nm0800027	Manny Simo-Maceo	\N	\N	actor	tt0120221,tt0110273,tt0108310,tt1279964
nm0800028	Bruce Simoens	\N	\N	actor	tt0245836
nm0800029	Stefaan Simoens	\N	\N	miscellaneous	tt0101805
nm0800030	Alice Simoes	\N	\N	actress	tt0103917
nm0800031	Irenio Simoes	\N	\N	actor	tt0056322
nm0800032	Isabel Simões	1959	\N	actress,art_department,miscellaneous	tt2445702,tt0380845,tt1608849,tt0367878
nm0800033	Olivier Simoes	\N	\N	actor	tt0080355
nm0800035	Marija Simokovic	\N	\N	writer	tt0171670
